Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Hand,NP,GO/AO
1,SP,Masahiro Tanaka,30,11,9,0.55,4.45,32,31,0,1,1,0,182,186,95,90,28,40,0,149,2,0,7,759,102,4.27,1.242,9.2,1.4,2,7.4,3.73,R,2787,1.25
2,SP,J.A. Happ,36,12,8,0.6,4.91,31,30,0,0,0,0,161.1,160,88,88,34,49,1,140,5,0,3,678,92,5.22,1.295,8.9,1.9,2.7,7.8,2.86,L,2696,0.87
3,SP,James Paxton,30,15,6,0.714,3.82,29,29,0,0,0,0,150.2,138,71,64,23,55,0,186,2,1,7,633,119,3.86,1.281,8.2,1.4,3.3,11.1,3.38,L,2665,0.65
4,SP,Domingo German,26,18,4,0.818,4.03,27,24,0,0,0,0,143,125,69,64,30,39,0,153,5,0,5,594,113,4.72,1.147,7.9,1.9,2.5,9.6,3.92,R,2247,0.74
5,SP,CC Sabathia,38,5,8,0.385,4.95,23,22,0,0,0,0,107.1,112,64,59,27,39,0,107,3,0,0,468,92,5.66,1.407,9.4,2.3,3.3,9,2.74,L,1729,0.89
6,CL,Aroldis Chapman,31,3,2,0.6,2.21,60,0,53,0,0,37,57,38,18,14,3,25,0,85,1,0,6,235,206,2.28,1.105,6,0.5,3.9,13.4,3.4,L,1352,1.09
7,RP,Chad Green,28,4,4,0.5,4.17,54,15,10,0,0,2,69,66,35,32,10,19,0,98,6,0,2,295,109,3.34,1.232,8.6,1.3,2.5,12.8,5.16,R,1320,0.63
8,RP,Adam Ottavino,33,6,5,0.545,1.9,73,0,7,0,0,2,66.1,47,17,14,5,40,3,88,2,1,3,283,239,3.44,1.312,6.4,0.7,5.4,11.9,2.2,R,1301,0.62
9,RP,Zack Britton,31,3,1,0.75,1.91,66,0,15,0,0,3,61.1,38,13,13,3,32,1,53,1,0,3,245,238,3.74,1.141,5.6,0.4,4.7,7.8,1.66,L,1158,0.78
10,RP,Tommy Kahnle,29,3,2,0.6,3.67,72,0,5,0,0,0,61.1,45,27,25,9,20,0,88,2,0,8,248,124,3.33,1.06,6.6,1.3,2.9,12.9,4.4,R,1026,1.74
