Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HAND
1,C,Robinson Chirinos,35,114,437,366,57,87,22,1,17,58,1,2,51,125,0.238,0.347,0.443,0.79,106,162,11,13,2,5,1,R
2,1B,Yuli Gurriel,35,144,612,564,85,168,40,2,31,104,5,3,37,65,0.298,0.343,0.541,0.884,127,305,12,5,0,6,2,R
3,2B,Jose Altuve,29,124,548,500,89,149,27,3,31,74,6,5,41,82,0.298,0.353,0.55,0.903,132,275,19,3,1,3,0,R
4,SS,Carlos Correa,24,75,321,280,42,78,16,1,21,59,1,0,35,75,0.279,0.358,0.568,0.926,138,159,8,2,0,4,0,R
5,3B,Alex Bregman,25,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,163,328,9,9,0,8,2,R
6,LF,Michael Brantley,32,148,637,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,127,289,21,7,0,4,3,L
7,CF,Jake Marisnick,28,120,318,292,46,68,16,3,10,34,10,3,17,95,0.233,0.289,0.411,0.7,81,120,6,6,3,0,0,R
8,RF,Josh Reddick,32,141,550,501,57,138,19,3,14,56,5,2,36,66,0.275,0.319,0.409,0.728,90,205,9,0,1,9,1,L
9,DH,Yordan Alvarez,22,87,369,313,58,98,26,0,27,78,0,0,52,94,0.313,0.412,0.655,1.067,174,205,9,2,0,2,4,L
10,CF,George Springer,29,122,556,479,96,140,20,3,39,96,6,2,67,113,0.292,0.383,0.591,0.974,151,283,12,6,0,4,1,R
11,1B,Tyler White,28,71,253,218,16,49,14,0,3,21,0,0,32,74,0.225,0.32,0.33,0.65,73,72,7,0,0,3,0,R
12,SS,Aledmys Diaz,28,69,247,210,36,57,12,1,9,40,2,0,26,28,0.271,0.356,0.467,0.823,114,98,10,5,0,6,1,R
13,2B,Tony Kemp,27,66,186,163,23,37,6,2,7,17,4,3,16,29,0.227,0.308,0.417,0.725,89,68,2,4,1,2,1,L
14,SS,Myles Straw,24,56,128,108,27,29,4,2,0,7,8,1,19,24,0.269,0.378,0.343,0.721,93,37,2,0,1,0,0,R
15,C,Max Stassi,28,31,98,90,4,15,1,0,1,3,0,0,7,34,0.167,0.235,0.211,0.446,20,19,1,1,0,0,0,R
16,C,Martin Maldonado,32,27,98,84,20,17,4,0,6,10,0,0,13,26,0.202,0.316,0.464,0.781,102,39,2,1,0,0,0,R
17,3B,Abraham Toro,22,25,89,78,13,17,3,2,2,9,1,1,9,19,0.218,0.303,0.385,0.688,80,30,2,1,0,1,0,B
